multiannual,bachelor-th
6.55,6.69
9.13,9.99
8.46,8.34
9.38,9.839999999999998
6.35,5.35
7.33,6.550000000000001
7.96,8.14
8.04,9.400000000000002
7.62,7.999999999999999
6.44,4.94
7.12,5.64
7.8,9.099999999999998
7.62,9.239999999999998
7.44,5.8
8.03,9.67
8.0,8.16
7.67,10.0
9.43,5.31
7.7,9.920000000000002
8.82,7.600000000000001
6.67,7.550000000000001
8.38,5.899999999999999
8.7,9.100000000000001
7.7,7.999999999999999
7.39,9.75
9.2,10.0
7.66,8.3
8.42,9.44
9.55,9.649999999999999
7.69,6.489999999999999
8.28,8.040000000000001
7.32,8.5
9.12,9.6
6.63,5.590000000000001
7.51,8.450000000000001
7.22,7.740000000000001
6.75,4.949999999999999
7.13,6.590000000000001
6.69,6.989999999999999
8.52,10.0
9.59,9.989999999999998
9.15,9.99
7.26,7.94
7.35,7.950000000000001
8.23,5.889999999999999
7.41,6.59
6.91,5.89
9.01,9.99
8.18,7.34
7.39,7.45
7.2,6.44
8.37,7.190000000000001
8.54,9.2
7.18,3.700000000000001
9.37,9.950000000000001
8.12,7.14
8.67,9.99
8.2,10.0
7.61,5.749999999999999
7.77,7.59
7.08,6.14
9.53,9.99
6.74,4.4399999999999995
8.98,8.04
7.91,8.149999999999999
8.14,7.899999999999999
8.31,7.59
9.43,9.39
8.28,9.140000000000002
7.15,7.69
8.12,7.800000000000001
8.69,9.290000000000001
7.55,7.489999999999999
9.34,10.0
7.58,8.2
9.13,9.589999999999998
7.57,7.89
7.53,6.55
8.5,10.0
7.69,9.75
8.3,8.54
8.22,6.74
7.25,7.550000000000001
8.28,9.44
10.0,10.0
9.03,9.69
8.63,9.99
9.05,9.05
6.58,5.5
9.09,9.39
7.14,7.500000000000001
7.61,8.89
9.37,9.99
7.25,7.050000000000001
7.62,8.64
8.4,7.24
7.47,7.89
8.85,8.35
8.79,9.25
9.5,8.280000000000001
9.03,10.0
9.93,9.990000000000002
9.09,9.989999999999998
7.14,6.7
8.08,7.9
7.38,6.3
8.89,9.25
8.48,6.9
